案件番号,得意先名,物件名,資料リンク
469840,(株)オープンハウス・ディベロップメント,姪の浜203Ⅲ③1,https://nskkogyo.sharepoint.com/:f:/s/kantou/EhVfHh1xmS5FtVKB04g4bYcBAwCHUVELc1j4MWlLqppfpg?e=lLTj1A
469842,(株)オープンハウス・ディベロップメント,姪の浜203Ⅲ③2,https://nskkogyo.sharepoint.com/:f:/s/kantou/Eh09l6ZvP-hNhK1339xFycsB4Q1cYjezXUAAiIbI31V9TQ?e=xvzFxq
470359,(株)オープンハウス・ディベロップメント,姪の浜203Ⅲ③3,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={ebf228a0-f5a5-4ea0-b45b-a29bfd364733}
474126,(株)オープンハウス・ディベロップメント,坪井西206①,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={99b67264-f20a-4816-b437-85b374c1fa05}
474132,(株)オープンハウス・ディベロップメント,小金きよしｹ丘211②1,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={524667c1-694e-4318-b1fc-ad21b495eb79}
467768,(株)オープンハウス・ディベロップメント,妙典303⑤2,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={18beb291-3f6b-47d2-b02e-6ce9e493a1a7}
467769,(株)オープンハウス・ディベロップメント,妙典303⑤3,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={bdcab671-f404-49bb-b1d1-c02c527c13b3}
467772,(株)オープンハウス・ディベロップメント,妙典303⑤1,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={9dbd4dbb-cbf5-43e8-a2cb-7482141b9c72}
473187,(株)オープンハウス・ディベロップメント,二ﾂ木01358⑨2,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={c6741608-e7c1-48d4-92a5-6cb25cb3144d}
475416,(株)オープンハウス・ディベロップメント,二ﾂ木01358⑨3,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={53c57ca5-8c95-435a-bf81-a5416b55080e}
476131,(株)オープンハウス・ディベロップメント,弥平111⑫5,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={27b088aa-643b-4af4-a119-2653cbf1e055}
474385,(株)オープンハウス・ディベロップメント,地行308①1,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={0aa4336d-39bf-478c-bdba-c284b71b059f}
474594,(株)オープンハウス・ディベロップメント,大泉町坂田607②1,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={9b602dc1-c0e6-44af-b193-253d32c9ef3f}
476902,(株)オープンハウス・ディベロップメント,太田由良町01426①,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={08e800d0-6de6-4d49-a1d4-4ed8446890bf}
